City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
83,Vaini,TO,2020-04-05 19:31:32,-21.2,-175.2,73.4,83,75,5.82,broken clouds,0.0,0.0
84,Leningradskiy,RU,2020-04-05 19:33:06,69.38,178.42,-1.98,88,100,19.01,overcast clouds,0.0,0.0
85,Atambua,ID,2020-04-05 19:33:06,-9.11,124.89,74.25,77,21,2.21,few clouds,0.0,0.0
86,Bilibino,RU,2020-04-05 19:33:06,68.05,166.44,-7.64,84,68,0.96,broken clouds,0.0,0.0
87,Bluff,NZ,2020-04-05 19:32:11,-46.6,168.33,60.01,81,100,5.01,light rain,0.25,0.0
88,Kushima,JP,2020-04-05 19:33:06,31.46,131.23,49.68,69,25,9.48,scattered clouds,0.0,0.0
89,Winsum,NL,2020-04-05 19:33:07,53.33,6.52,61.0,38,0,5.82,clear sky,0.0,0.0
90,Pasighat,IN,2020-04-05 19:33:07,28.07,95.33,67.1,43,67,4.05,broken clouds,0.0,0.0
91,Castro,BR,2020-04-05 19:32:12,-24.79,-50.01,66.58,52,0,1.72,clear sky,0.0,0.0
92,Aksu,CN,2020-04-05 19:33:07,41.12,80.26,53.64,25,12,4.09,few clouds,0.0,0.0
93,Klaksvik,FO,2020-04-05 19:32:11,62.23,-6.59,48.2,76,100,19.46,overcast clouds,0.0,0.0
94,Belfast,GB,2020-04-05 19:32:57,54.58,-5.93,55.99,87,100,29.97,light rain,0.0,0.0
95,El Tarra,CO,2020-04-05 19:33:07,8.58,-73.09,89.19,56,100,2.24,light rain,1.24,0.0
96,Ugoofaaru,MV,2020-04-05 19:33:07,5.67,73.0,84.09,67,0,4.41,clear sky,0.0,0.0
97,Georgetown,MY,2020-04-05 19:32:04,5.41,100.34,78.8,100,40,5.06,scattered clouds,0.0,0.0
98,Yatou,CN,2020-04-05 19:33:07,37.15,122.38,43.38,63,91,9.44,overcast clouds,0.0,0.0
99,Auce,LV,2020-04-05 19:33:07,56.46,22.9,37.24,88,0,5.35,clear sky,0.0,0.0
100,Mount Gambier,AU,2020-04-05 19:33:08,-37.83,140.77,50.0,93,90,4.7,overcast clouds,0.0,0.0
101,Salalah,OM,2020-04-05 19:33:08,17.02,54.09,80.6,83,0,3.36,clear sky,0.0,0.0
102,Ribeira Grande,PT,2020-04-05 19:33:08,38.52,-28.7,60.8,77,75,10.29,broken clouds,0.0,0.0
103,Dikson,RU,2020-04-05 19:33:08,73.51,80.55,17.58,98,100,4.92,light snow,0.0,0.38
104,Husavik,IS,2020-04-05 19:33:08,66.04,-17.34,28.4,86,90,18.34,overcast clouds,0.0,0.0
105,Avarua,CK,2020-04-05 19:31:32,-21.21,-159.78,80.6,88,75,12.75,light intensity shower rain,0.0,0.0
106,Akdepe,TM,2020-04-05 19:33:08,42.06,59.38,57.2,44,90,6.93,overcast clouds,0.0,0.0
107,Soure,BR,2020-04-05 19:33:08,-0.72,-48.52,81.3,84,83,10.49,light rain,0.52,0.0
108,Taltal,CL,2020-04-05 19:33:08,-25.4,-70.48,71.13,60,5,4.88,clear sky,0.0,0.0
109,Pevek,RU,2020-04-05 19:33:08,69.7,170.31,-8.0,91,100,2.8,overcast clouds,0.0,0.0
110,Yar-Sale,RU,2020-04-05 19:33:09,66.83,70.83,32.43,98,100,3.0,overcast clouds,0.0,0.0
111,Vao,NC,2020-04-05 19:33:09,-22.67,167.48,77.09,77,100,23.24,overcast clouds,0.0,0.0
112,Sembakung,ID,2020-04-05 19:33:09,3.82,117.25,74.91,93,31,1.86,light rain,0.95,0.0
113,Chuy,UY,2020-04-05 19:27:26,-33.7,-53.46,75.76,50,8,6.78,clear sky,0.0,0.0
114,Hermanus,ZA,2020-04-05 19:32:06,-34.42,19.23,59.0,99,97,4.0,light rain,0.36,0.0
115,Baykit,RU,2020-04-05 19:32:12,61.67,96.37,23.27,92,73,4.43,broken clouds,0.0,0.0
116,Touros,BR,2020-04-05 19:33:09,-5.2,-35.46,84.2,83,40,12.75,scattered clouds,0.0,0.0
117,Naze,JP,2020-04-05 19:33:09,28.37,129.48,62.6,67,75,13.87,broken clouds,0.0,0.0
118,Monteagudo,BO,2020-04-05 19:33:09,-19.82,-63.98,83.86,39,22,1.95,light rain,0.27,0.0
119,Lichinga,MZ,2020-04-05 19:33:09,-13.31,35.24,66.2,72,40,3.36,scattered clouds,0.0,0.0
120,Barra Do Garcas,BR,2020-04-05 19:33:09,-15.89,-52.26,95.0,50,40,2.24,thunderstorm,0.0,0.0
121,San Patricio,MX,2020-04-05 19:33:09,19.22,-104.7,86.0,74,40,11.41,scattered clouds,0.0,0.0
122,Kodiak,US,2020-04-05 19:28:03,57.79,-152.41,39.2,38,40,11.41,scattered clouds,0.0,0.0
123,Sabanalarga,CO,2020-04-05 19:33:10,10.63,-74.92,91.4,63,65,10.29,broken clouds,0.0,0.0
124,Sur,OM,2020-04-05 19:33:10,22.57,59.53,85.73,32,55,6.69,broken clouds,0.0,0.0
125,Tuktoyaktuk,CA,2020-04-05 19:33:10,69.45,-133.04,19.4,73,75,23.04,broken clouds,0.0,0.0
126,Ornskoldsvik,SE,2020-04-05 19:33:10,63.29,18.72,32.0,74,100,4.7,overcast clouds,0.0,0.0
127,Tocopilla,CL,2020-04-05 19:33:10,-22.09,-70.2,80.33,41,25,4.72,scattered clouds,0.0,0.0
128,Broome,US,2020-04-05 19:33:10,42.25,-75.83,61.0,58,90,5.82,overcast clouds,0.0,0.0
129,Atuona,PF,2020-04-05 19:32:07,-9.8,-139.03,81.27,76,3,13.8,clear sky,0.0,0.0
130,Saskylakh,RU,2020-04-05 19:27:28,71.92,114.08,30.85,96,99,18.5,overcast clouds,0.0,0.0
131,Ancud,CL,2020-04-05 19:32:08,-41.87,-73.82,55.4,50,20,16.11,few clouds,0.0,0.0
132,Port Elizabeth,ZA,2020-04-05 19:33:11,-33.92,25.57,64.4,82,100,14.99,overcast clouds,0.0,0.0
133,Viru,PE,2020-04-05 19:33:11,-8.42,-78.75,71.6,78,22,10.29,haze,0.0,0.0
134,Ogori,JP,2020-04-05 19:33:11,34.1,131.4,46.4,65,0,2.24,clear sky,0.0,0.0
135,El Alto,PE,2020-04-05 19:33:11,-4.27,-81.21,75.0,71,88,8.93,light rain,0.12,0.0
136,Iqaluit,CA,2020-04-05 19:32:08,63.75,-68.51,8.6,71,20,14.99,few clouds,0.0,0.0
137,Tra Vinh,VN,2020-04-05 19:33:11,9.93,106.35,79.39,81,18,9.46,few clouds,0.0,0.0
138,Brisbane,AU,2020-04-05 19:33:01,-27.47,153.03,64.99,88,5,8.05,clear sky,0.0,0.0
139,Ozernovskiy,RU,2020-04-05 19:33:11,51.5,156.52,34.47,78,0,4.85,clear sky,0.0,0.0
140,Mehamn,NO,2020-04-05 19:33:11,71.04,27.85,26.6,92,90,18.34,snow,0.0,0.0
141,Evensk,RU,2020-04-05 19:33:12,61.95,159.23,4.12,88,70,5.17,broken clouds,0.0,0.0
142,Sorong,ID,2020-04-05 19:33:12,-0.88,131.25,76.26,87,71,2.15,light rain,0.88,0.0
143,Airai,TL,2020-04-05 19:33:12,-8.93,125.41,60.84,67,20,1.34,few clouds,0.0,0.0
144,San Quintin,MX,2020-04-05 19:33:12,30.48,-115.95,61.66,60,10,10.18,clear sky,0.0,0.0
145,Bandarbeyla,SO,2020-04-05 19:33:12,9.49,50.81,80.28,68,0,7.87,clear sky,0.0,0.0
146,Yenagoa,NG,2020-04-05 19:33:12,4.92,6.26,79.84,79,2,5.61,clear sky,0.0,0.0
147,Dekar,BW,2020-04-05 19:33:13,-21.53,21.93,70.2,25,0,3.91,clear sky,0.0,0.0
148,Padang,ID,2020-04-05 19:33:13,-0.95,100.35,77.7,75,100,3.31,overcast clouds,0.0,0.0
149,Conde,BR,2020-04-05 19:33:13,-7.26,-34.91,87.8,70,20,12.75,few clouds,0.0,0.0
150,Isangel,VU,2020-04-05 19:33:13,-19.55,169.27,78.8,94,90,13.87,overcast clouds,0.0,0.0
151,Broken Hill,AU,2020-04-05 19:33:13,-31.95,141.43,51.8,76,0,6.44,clear sky,0.0,0.0
