City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
128,Calvia,ES,2020-04-04 19:00:45,39.57,2.51,60.01,72,29,4.7
129,Parys,FR,2020-04-04 18:59:51,48.85,2.35,59.0,41,0,6.93
130,Portland,US,2020-04-04 18:48:02,45.52,-122.68,53.01,70,75,4.7
131,Ikot Ekpene,NG,2020-04-04 19:00:46,5.18,7.71,79.27,82,100,7.05
132,Mugur-Aksy,RU,2020-04-04 19:00:46,50.35,90.5,23.88,48,4,2.75
133,Bengkulu,ID,2020-04-04 18:51:22,-3.8,102.27,78.44,84,100,4.81
134,San,ML,2020-04-04 19:00:46,13.3,-4.9,103.03,7,1,3.69
135,Narsaq,GL,2020-04-04 18:51:33,60.92,-46.05,33.8,47,75,3.36
136,Vanimo,PG,2020-04-04 18:50:49,-2.67,141.3,78.94,84,28,7.81
137,Anchorage,US,2020-04-04 18:53:45,61.22,-149.9,36.0,80,90,4.7
138,Storslett,NO,2020-04-04 19:00:47,69.77,21.02,24.62,87,79,14.83
139,Kozan,TR,2020-04-04 19:00:47,37.46,35.82,64.0,71,71,4.7
140,Mar Del Plata,AR,2020-04-04 18:50:58,-38.0,-57.56,75.2,53,20,16.11
141,Saskylakh,RU,2020-04-04 18:51:00,71.92,114.08,1.69,91,81,13.42
142,Port Alfred,ZA,2020-04-04 18:50:55,-33.59,26.89,72.0,78,2,4.0
143,Oranjemund,NA,2020-04-04 18:51:10,-28.55,16.43,63.79,86,49,4.43
144,Iracoubo,GF,2020-04-04 19:00:47,5.48,-53.2,83.79,73,58,14.14
145,Qadirpur Ran,PK,2020-04-04 19:00:47,30.29,71.67,73.4,64,75,9.17
146,Jalu,LY,2020-04-04 18:50:58,29.03,21.55,67.26,43,1,20.02
147,Davydivka,UA,2020-04-04 19:00:48,48.12,25.56,41.65,56,62,2.1
148,Lakes Entrance,AU,2020-04-04 18:52:59,-37.88,147.98,51.24,62,0,17.81
149,Carnarvon,AU,2020-04-04 19:00:48,-24.87,113.63,75.2,78,97,12.75
150,Karratha,AU,2020-04-04 18:51:14,-20.74,116.85,81.01,74,76,6.38
151,Gat,IL,2020-04-04 18:56:20,31.61,34.76,77.0,33,19,2.24
152,Zaraza,VE,2020-04-04 19:00:48,9.35,-65.32,101.07,28,98,7.02
153,Ratnagiri,IN,2020-04-04 19:00:48,16.98,73.3,77.38,82,0,4.27
154,Straumen,NO,2020-04-04 19:00:48,63.87,11.3,32.0,92,75,18.34
155,Chota,PE,2020-04-04 19:00:48,-6.55,-78.65,69.8,46,75,9.17
156,Clyde River,CA,2020-04-04 18:56:11,70.47,-68.59,10.4,72,20,28.86
157,Palmer,US,2020-04-04 18:51:00,42.16,-72.33,55.99,54,75,5.26
158,Severo-Kurilsk,RU,2020-04-04 19:00:49,50.68,156.12,26.11,91,17,13.02
159,Sao Filipe,CV,2020-04-04 19:00:49,14.9,-24.5,74.35,74,0,19.86
160,Gornyy,RU,2020-04-04 19:00:49,55.12,83.91,29.26,95,1,8.97
161,Ust-Maya,RU,2020-04-04 19:00:49,60.42,134.53,12.52,93,99,6.42
162,Kavieng,PG,2020-04-04 18:51:08,-2.57,150.8,80.26,76,99,1.61
163,Mount Isa,AU,2020-04-04 18:51:26,-20.73,139.5,68.0,32,0,12.75
164,Namatanai,PG,2020-04-04 19:00:49,-3.67,152.43,78.69,81,100,6.8
165,Yeppoon,AU,2020-04-04 19:00:49,-23.13,150.73,75.2,83,90,3.36
166,Barra Patuca,HN,2020-04-04 19:00:50,15.8,-84.28,82.27,64,23,8.34
167,Victoria,HK,2020-04-04 18:58:17,22.29,114.16,68.0,88,40,8.05
168,Freistadt,AT,2020-04-04 19:00:50,48.51,14.5,51.01,67,78,4.7
169,Lazaro Cardenas,MX,2020-04-04 18:56:43,17.96,-102.2,86.4,45,0,8.1
170,Carutapera,BR,2020-04-04 18:56:47,-1.2,-46.02,83.75,77,83,8.86
