City_ID,City,Country,Max Temp,Lat,Long,Current Description,Hotel Name
57,Dingle,PH,76.35,11.0,122.67,broken clouds,Camp Pasica
58,Mahebourg,MU,78.8,-20.41,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
60,Kapaa,US,78.8,22.08,-159.32,clear sky,Sheraton Kauai Resort at Coconut Beach
62,Suluq,LY,59.04,31.67,20.25,broken clouds,ورشة الحضيري لاكترونات وخدمات النت
65,Sao Filipe,CV,73.35,14.9,-24.5,clear sky,Tortuga B&B
67,San Policarpo,PH,78.58,12.18,125.51,broken clouds,Zal-Ann Beach Resort
70,East London,ZA,70.57,-33.02,27.91,overcast clouds,Tu Casa
71,Bako,ET,68.23,5.78,36.57,overcast clouds,Arkisha Sefer
72,Arraial Do Cabo,BR,78.8,-22.97,-42.03,broken clouds,Pousada Porto Praia
74,Piacabucu,BR,81.59,-10.41,-36.43,clear sky,Piaçabuçu News
76,Carnarvon,AU,73.4,-24.87,113.63,clear sky,Hospitality Carnarvon
77,Laguna,US,55.99,38.42,-121.42,heavy intensity rain,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
81,Nago,JP,66.2,26.59,127.98,broken clouds,Hotel Yugaf Inn Okinawa
83,Vaini,TO,73.4,-21.2,-175.2,broken clouds,Keleti Beach Resort
85,Atambua,ID,74.25,-9.11,124.89,few clouds,Pondok Pesantren Al Muhajirin Atambua
89,Winsum,NL,61.0,53.33,6.52,clear sky,Eetcafe Beuving
90,Pasighat,IN,67.1,28.07,95.33,broken clouds,Siang Guest House
91,Castro,BR,66.58,-24.79,-50.01,clear sky,CHACARA BAILLY
92,Aksu,CN,53.64,41.12,80.26,few clouds,Pudong Holiday Hotel
94,Belfast,GB,55.99,54.58,-5.93,light rain,Premier Inn Belfast Titanic Quarter hotel
96,Ugoofaaru,MV,84.09,5.67,73.0,clear sky,Ungoofaaru Inn
97,Georgetown,MY,78.8,5.41,100.34,scattered clouds,Cititel Penang
100,Mount Gambier,AU,50.0,-37.83,140.77,overcast clouds,Best Western Southgate Motel
101,Salalah,OM,80.6,17.02,54.09,clear sky,HAMDAN PLAZA HOTEL
102,Ribeira Grande,PT,60.8,38.52,-28.7,broken clouds,Quinta da Meia Eira
105,Avarua,CK,80.6,-21.21,-159.78,light intensity shower rain,Paradise Inn
106,Akdepe,TM,57.2,42.06,59.38,overcast clouds,Мой дом
108,Taltal,CL,71.13,-25.4,-70.48,clear sky,Residencial Karime
111,Vao,NC,77.09,-22.67,167.48,overcast clouds,Hotel Kou-Bugny
113,Chuy,UY,75.76,-33.7,-53.46,clear sky,Nuevo Hotel Plaza
116,Touros,BR,84.2,-5.2,-35.46,scattered clouds,INN NEW HORIZON
117,Naze,JP,62.6,28.37,129.48,broken clouds,奄美ポートタワーホテル
119,Lichinga,MZ,66.2,-13.31,35.24,scattered clouds,Residencial Bendiak
120,Barra Do Garcas,BR,95.0,-15.89,-52.26,thunderstorm,Hotel Pousada Tropical
121,San Patricio,MX,86.0,19.22,-104.7,scattered clouds,Hotel Cabo Blanco
123,Sabanalarga,CO,91.4,10.63,-74.92,broken clouds,Hotel Miraflores
124,Sur,OM,85.73,22.57,59.53,broken clouds,Sur Plaza Hotel
127,Tocopilla,CL,80.33,-22.09,-70.2,scattered clouds,Hotel Galvarino
128,Broome,US,61.0,42.25,-75.83,overcast clouds,Chenango Valley State Park
129,Atuona,PF,81.27,-9.8,-139.03,clear sky,Villa Enata
131,Ancud,CL,55.4,-41.87,-73.82,few clouds,HOTEL ANCUD DON LUCAS
132,Port Elizabeth,ZA,64.4,-33.92,25.57,overcast clouds,39 On Nile Guest House
133,Viru,PE,71.6,-8.42,-78.75,haze,AYAR PORTENTOS DE MONTAÑA
137,Tra Vinh,VN,79.39,9.93,106.35,few clouds,Hồng Ân
138,Brisbane,AU,64.99,-27.47,153.03,clear sky,Royal On The Park Brisbane
143,Airai,TL,60.84,-8.93,125.41,few clouds,Juvinal Martin
144,San Quintin,MX,61.66,30.48,-115.95,clear sky,Old Mill Hotel
145,Bandarbeyla,SO,80.28,9.49,50.81,clear sky,REER XOOSHLE GROUP
146,Yenagoa,NG,79.84,4.92,6.26,clear sky,Amba Hotels Limited
147,Dekar,BW,70.2,-21.53,21.93,clear sky,
148,Padang,ID,77.7,-0.95,100.35,overcast clouds,Mercure Padang
149,Conde,BR,87.8,-7.26,-34.91,few clouds,Pousada Beija Flor
150,Isangel,VU,78.8,-19.55,169.27,overcast clouds,Volcano Sea View Tree House
151,Broken Hill,AU,51.8,-31.95,141.43,clear sky,Daydream Motel & Cottages
154,Gobabis,,71.6,-22.45,18.97,broken clouds,Goba Lodge
156,Cabo San Lucas,MX,86.0,22.89,-109.91,broken clouds,Hotel Tesoro Los Cabos
157,Daru,PG,77.86,-9.08,143.21,overcast clouds,New century hotel
158,Katsina,NG,86.76,12.99,7.6,overcast clouds,Katsina Motel
160,Bredasdorp,ZA,60.8,-34.53,20.04,broken clouds,Bredasdorp Country Manor
162,Baisha,CN,53.24,26.52,110.93,overcast clouds,
164,Geraldton,AU,61.0,-28.77,114.6,clear sky,Broadwater Mariner Resort
167,Ayorou,NE,90.66,14.73,0.92,clear sky,Hotel Amenokal
168,Esperance,AU,57.2,-33.87,121.9,broken clouds,Hospitality Esperance
171,Peer,BE,63.0,51.13,5.46,clear sky,B&B Factorij 10
174,Kununurra,AU,77.0,-15.77,128.73,scattered clouds,Hotel Kununurra
175,Itaituba,BR,93.2,-4.28,-55.98,few clouds,Hotel Campos
177,Tanout,NE,84.94,14.97,8.89,overcast clouds,
178,Comillas,PH,77.0,15.4,120.7,few clouds,Morales Resort
179,Takoradi,GH,82.92,4.88,-1.76,clear sky,Raybow International Hotel
180,Saint George,US,69.8,37.1,-113.58,clear sky,Best Western Plus Abbey Inn
182,Valparaiso,CL,64.4,-33.04,-71.63,clear sky,Hotel Ultramar
183,Sundby,DK,52.0,54.86,11.79,clear sky,Motel Højmølle Kro
184,Korla,CN,57.0,41.76,86.15,clear sky,Gulisitan Hotel
186,Kieta,PG,79.75,-6.22,155.63,few clouds,
188,Cayenne,GF,87.8,4.93,-52.33,broken clouds,Hôtel Le Dronmi
189,Olinda,BR,86.0,-8.01,-34.86,few clouds,Hotel 5 Sóis
192,Mae Hong Son,TH,72.25,19.3,97.97,clear sky,Baiyoke Chalet Hotel
193,Rocha,UY,71.29,-34.48,-54.33,overcast clouds,Beleza Pura B&B
194,Codrington,AU,51.93,-38.27,141.97,scattered clouds,Codrington Gardens Bed And Breakfast
195,Saint-Georges,GD,86.0,12.06,-61.75,few clouds,Radisson Grenada Beach Resort
196,Mahibadhoo,MV,84.51,3.78,72.97,overcast clouds,Omadhoo Inn
